Set Name,Type (Flashcard/Quiz),Question / Front,Answer / Back,Options (for Quiz),Correct Answer (for Quiz)
Flashcards Section 5,Flashcard,What are the 90-day and 365-day flight time limitations for Medevac pilots?,"300 hours in 90 consecutive days; 1,200 hours in 365 consecutive days.",,
Flashcards Section 5,Flashcard,What is the maximum flight duty period for any Medevac flight crew assignment?,14 hours.,,
Flashcards Section 5,Flashcard,What is the standard rest period for Medevac flight crew at the end of an FDP?,10 hours plus travel time to and from the rest location.,,
Flashcards Section 5,Flashcard,How can Medevac flight duty be extended using split flight duty rules?,May exceed the 14-hour limit by up to one-half the length of a break (min 4 consecutive hours in suitable accommodation) to a maximum of 3 hours.,,
Flashcards Section 5,Flashcard,What are the options for Medevac flight crew time free from duty?,"At least 36 consecutive hours within 7 days, OR at least 3 consecutive days within 17 days, OR at least 4 consecutive days within 19 days.",,
Flashcards Section 5,Flashcard,"Under unforeseen operational circumstances, by how many hours can a Medevac PIC extend flight time/FDP?","By up to three hours (PIC must notify the company, subsequent rest period increased by length of extension).",,
Flashcards Section 5,Flashcard,How many consecutive FDPs exceeding 12 hours can be assigned to a Medevac pilot before requiring a 24h rest period?,Must provide at least 24 consecutive hours free from flight duty following three consecutive FDP assignments that exceed 12 hours.,,
Flashcards Section 5,Flashcard,"What license, medical, and ratings are required to act as PIC or SIC for SkyCare?","Canadian CPL or ATPL, Group 1 Instrument rating, valid Category 1 Medical certificate, valid type rating (if applicable), and Restricted Radiotelephone Certificate.",,
Flashcards Section 5,Flashcard,What is considered a 'High-Performance Aeroplane' under the licensing requirements?,"An aeroplane specified in minimum flight crew document requiring only one pilot, with Vne >= 250 KIAS or Vso >= 80 KIAS.",,
Flashcards Section 5,Flashcard,What is the recency requirement for carrying passengers under SkyCare rules?,Completed 3 take-offs and landings in class/category within 90 days; and within the last 6 months completed 5 day/night take-offs and landings (5 night take-offs and landings if operating at night).,,
Flashcards Section 5,Flashcard,What are the minimum experience requirements to fly single-pilot IFR carrying passengers on the PA31 or SW3?,"1000 hours flight time, 100 hours multi-engine, 50 hours actual/simulated IMC, 50 hours on type, a single-pilot PPC, and company GPS approach training.",,
Flashcards Section 5,Flashcard,What is the maximum altitude allowed for single-pilot pressurized IFR passenger operations?,FL 250.,,
Quiz - Section 4,Quiz,"Under SkyCare's Stabilized Approach Policy, by what altitude must the aircraft be stabilized on track, slope, speed, and configuration in VFR conditions?",500 feet AGL,A) 1000 feet AGL | B) 500 feet AGL | C) 300 feet AGL | D) 200 feet AGL,B
Quiz - Section 4,Quiz,"Under IFR conditions, what is the height above airport elevation by which the aircraft must be stabilized?",1000 feet above airport elevation,A) 500 feet | B) 1000 feet above airport elevation | C) 1500 feet | D) Final Approach Fix,B
Quiz - Section 4,Quiz,"If any deviation from stabilized approach criteria persists below the minimum stabilization height, what action is mandatory?",An immediate go-around must be executed,A) Proceed with caution | B) Adjust power aggressively | C) An immediate go-around must be executed | D) Ask the first officer for advice,C
Quiz - Section 4,Quiz,What is the maximum vertical descent rate allowed under the stabilized approach criteria?,1000 feet per minute (unless special briefing is conducted),A) 500 fpm | B) 1000 fpm | C) 1500 fpm | D) 2000 fpm,B
Quiz - Section 4,Quiz,"During a circling approach, wings should be level on final when the aircraft reaches what height above airport elevation?",300 feet above airport elevation,A) 500 feet | B) 300 feet above airport elevation | C) 200 feet | D) 1000 feet,B
Quiz - Section 4,Quiz,What is the maximum speed deviation allowed under stabilized approach criteria at 500 feet?,Not more than VREF + 20 KT and not less than VREF,A) VREF + 10 KT / VREF - 5 KT | B) VREF + 15 KT / VREF | C) Not more than VREF + 20 KT and not less than VREF | D) VREF + 30 KT / VREF - 10 KT,C
Quiz - Section 4,Quiz,What are the speed limits for stabilized approach criteria at 50 feet?,Not more than VREF + 10 KT and not less than VREF - 5 KT,A) Not more than VREF + 10 KT and not less than VREF - 5 KT | B) VREF + 15 KT / VREF | C) VREF + 20 KT / VREF | D) VREF + 5 KT / VREF,A
Quiz - Section 4,Quiz,"If any crew member loses situational awareness or becomes uncomfortable with an approach, what specific vocal call is mandated?",'CRM overshoot',A) 'Go-around' | B) 'Missed approach' | C) 'CRM overshoot' | D) 'Abort approach',C
Quiz - Section 4,Quiz,How must a Captain respond when a crew member calls 'CRM overshoot'?,The Captain must call 'Overshoot' or 'Continue' (only continuing if overshoot is a greater risk),A) Disregard and continue | B) Take control and land | C) The Captain must call 'Overshoot' or 'Continue' (only continuing if overshoot is a greater risk) | D) Initiate a hold immediately,C
Quiz - Section 4,Quiz,Pilot Monitored Approach (PMA) procedures are mandatory when reported weather is at or below what threshold?,DH/MDA + 100 feet or Advisory Visibility + 1/2 SM,A) DH/MDA | B) DH/MDA + 100 feet or Advisory Visibility + 1/2 SM | C) DH/MDA + 200 feet or Advisory Visibility + 1 SM | D) Weather below landing minima,B
Quiz - Section 4,Quiz,What is the day VFR visibility and cloud clearance minima for a Control Zone (Controlled Airspace)?,"Visibility >= 3 miles, cloud clearance 500 ft vertically and 1 mile horizontally","A) Visibility >= 1 mile, clear of cloud | B) Visibility >= 3 miles, cloud clearance 500 ft vertically and 1 mile horizontally | C) Visibility >= 1 mile, 500 ft vertically and 2000 ft horizontally | D) Visibility >= 2 miles, clear of cloud",B
Quiz - Section 4,Quiz,"What are the Day VFR weather minima in uncontrolled airspace at or above 1,000 feet AGL?","Visibility >= 1 mile, cloud clearance 500 ft vertically and 2,000 ft horizontally","A) Visibility >= 1 mile, clear of cloud | B) Visibility >= 2 miles, clear of cloud | C) Visibility >= 1 mile, cloud clearance 500 ft vertically and 2,000 ft horizontally | D) Visibility >= 3 miles, cloud clearance 500 ft vertically and 1 mile horizontally",C
Quiz - Section 4,Quiz,"What are the Night VFR weather minima in uncontrolled airspace at or above 1,000 feet AGL?","Visibility >= 3 miles, cloud clearance 500 ft vertically and 2,000 ft horizontally","A) Visibility >= 1 mile, clear of cloud | B) Visibility >= 3 miles, clear of cloud | C) Visibility >= 3 miles, cloud clearance 500 ft vertically and 2,000 ft horizontally | D) Visibility >= 3 miles, cloud clearance 1,000 ft vertically and 1 mile horizontally",C
Quiz - Section 4,Quiz,"For day VFR operations conducted in uncontrolled airspace below 1,000 feet AGL, what is the required visibility?",Not less than 2 miles,A) 1 mile | B) 1.5 miles | C) 2 miles | D) 3 miles,C
Quiz - Section 4,Quiz,"Except during take-off or landing, what is the day VFR obstacle clearance height and horizontal distance limit?",Not less than 300 feet AGL and a horizontal distance of less than 300 feet from any obstacle,A) 500 feet AGL / 500 feet horizontal | B) 300 feet AGL / 300 feet horizontal | C) 1000 feet AGL / 1 mile horizontal | D) 1500 feet AGL / 2 miles horizontal,B
Quiz - Section 4,Quiz,What is the maximum crosswind component allowed for conducting a Category C Low Visibility Approach?,15 knots,A) 10 knots | B) 12 knots | C) 15 knots | D) 20 knots,C
Quiz - Section 4,Quiz,What is the maximum allowable Flight Technical Error (FTE) during normal RNP 1 operations?,0.5 NM,A) 0.1 NM | B) 0.3 NM | C) 0.5 NM | D) 1.0 NM,C
Quiz - Section 4,Quiz,How far prior to the Final Approach Point (FAP) must the crew verify that the GNSS approach mode indicates LP or LPV?,2 NM,A) 1 NM | B) 2 NM | C) 5 NM | D) 10 NM,B
Quiz - Section 4,Quiz,Are flight crews permitted to conduct the Radius to Fix (RF) leg portion of RNP 1 procedures?,"No, they are not permitted to conduct RF legs.","A) Yes, with autopilot | B) Yes, by day only | C) No, they are not permitted to conduct RF legs. | D) Only with Chief Pilot verbal approval",C
Quiz - Section 4,Quiz,What distance must be maintained from any severe thunderstorm or intense radar return?,Avoid by at least 20 NM (including the anvil of a large cumulonimbus),A) 5 NM | B) 10 NM | C) 15 NM | D) Avoid by at least 20 NM,D
Quiz - Section 4,Quiz,"According to the clear air turbulence rules of thumb, what is the best flight level change strategy if severe CAT is encountered in a crosswind with a rising temperature?",Climb,A) Descend | B) Climb | C) Turn right | D) Fly parallel to the trough,B
Quiz - Section 4,Quiz,"If symptoms of an incipient tail plane stall occur shortly after flap extension, what is the immediate recovery action?",Immediately retract the flaps to the previous setting and increase airspeed,A) Deploy full flaps and pull nose up | B) Immediately retract the flaps to the previous setting and increase airspeed | C) Close the throttles completely | D) Engage autopilot,B
Quiz - Section 4,Quiz,"What atmospheric phenomenon is characterized by an unbroken snow cover and a uniformly overcast sky where light from the sky is about equal to that from the snow surface, leading to loss of depth and orientation?",Whiteout,A) Ground fog | B) Ice fog | C) Whiteout | D) Snowblink,C
Quiz - Section 4,Quiz,Under what condition is a take-off alternate required for twin-engine departures with standard seating limits?,When weather conditions are above take-off but below landing minima for the runway in use,A) For all night VFR flights | B) When weather conditions are above take-off but below landing minima for the runway in use | C) When flying over water | D) Under single-pilot ops in IMC,B
Quiz - Section 4,Quiz,What is the maximum allowed distance for a take-off alternate aerodrome on standard departures?,Located within the distance that can be flown in 60 minutes at the one-engine inoperative speed,A) Within 30 minutes at normal cruising speed | B) Within 60 minutes at normal cruising speed | C) Located within the distance that can be flown in 60 minutes at the one-engine inoperative speed | D) Within 120 NM,C
Quiz - Section 4,Quiz,What are the required items for conducting reduced visibility take-offs down to RVR 1200?,"HIRL or CL lights or centerline markings, flight crew RVR 1200 training, CP certification, and PIC experience >= 100 hours on type","A) Ground radar and single-pilot authorization | B) Autopilot coupled to 50 feet | C) HIRL or CL lights or centerline markings, flight crew RVR 1200 training, CP certification, and PIC experience >= 100 hours on type | D) Visual reference to ground at all times",C
Quiz - Section 4,Quiz,What is the visibility measurement of highest priority for approach bans?,RVR measured by RVR 'A' for the runway of intended approach,A) Reported ground visibility | B) Pilot-reported runway visibility | C) RVR measured by RVR 'A' for the runway of intended approach | D) Automated weather observation system (AWOS),C
Quiz - Section 4,Quiz,How long is a pilot assessment of runway visibility valid for?,Only valid for a period of twenty (20) minutes,A) 10 minutes | B) 20 minutes | C) 30 minutes | D) 1 hour,B
Quiz - Section 4,Quiz,When can a pilot declare a 'localized phenomenon' to override an approach ban?,When ground visibility deteriorates to ban criteria but the flight visibility along approach and runway remains >= advisory visibility,A) Anytime they want | B) When RVR is reported below 1200 | C) When ground visibility deteriorates to ban criteria but the flight visibility along approach and runway remains >= advisory visibility | D) During daylight VFR only,C
Quiz - Section 4,Quiz,"Under RNP 1 terminal area procedures, is manual entry of coordinates permitted?","No, manual entry of coordinates by the flight crew member is strictly prohibited","A) Yes, with Chief Pilot permission | B) Yes, during day VFR only | C) No, manual entry of coordinates by the flight crew member is strictly prohibited | D) Only during emergency procedures",C
Quiz - Section 4,Quiz,"For RNP 2 Continental operations, what moving map or lateral deviation display scaling capability is required?",Must know their allowable lateral deviation limits (+/- 1 NM from route center line),A) +/- 0.5 NM | B) +/- 1 NM | C) +/- 2 NM | D) +/- 5 NM,B
Quiz - Section 4,Quiz,What is defined as RVSM airspace?,"Any airspace between FL290 and FL410 where 1,000-foot vertical separation is applied",A) Between FL180 and FL250 | B) Between FL230 and FL290 | C) Between FL290 and FL410 | D) Above FL410,C
Quiz - Section 4,Quiz,Which SkyCare aircraft registration is explicitly NOT authorized for RVSM airspace?,C-FXDP,A) C-GKPX | B) C-GQXX | C) C-FXDP | D) C-FABC,C
Quiz - Section 4,Quiz,What must be set on the transponder relative to the ADDU pre-RVSM entry?,The transponder must be set to the same side as the ADDU,A) Set to standby | B) Transponder set to the opposite side of active ADDU | C) The transponder must be set to the same side as the ADDU | D) Set to code 7700,C
Quiz - Section 4,Quiz,"During transition between cleared flight levels in RVSM airspace, what is the maximum altitude overshoot/undershoot allowed?",150 feet,A) 50 feet | B) 100 feet | C) 150 feet | D) 200 feet,C
Quiz - Section 4,Quiz,What are the climb and descent rate recommendations in RVSM airspace when operating in close proximity to other aircraft?,Limit vertical speed to 1000 fpm when within 5 NM and +/- 2000 feet of other aircraft,A) Limit to 500 fpm | B) Limit to 1000 fpm | C) Limit to 1500 fpm | D) No limit,B
Quiz - Section 4,Quiz,"In a TCAS II system, when are Traffic Advisories (TA) issued?",When the time to closest point of approach (CPA) is 20 to 48 seconds,A) 10 to 15 seconds | B) 15 to 35 seconds | C) 20 to 48 seconds | D) 50 to 60 seconds,C
Quiz - Section 4,Quiz,"In a TCAS II system, when are Resolution Advisories (RA) issued?",When the time to closest point of approach (CPA) is 15 to 35 seconds,A) 5 to 10 seconds | B) 15 to 35 seconds | C) 20 to 48 seconds | D) 45 to 60 seconds,B
Quiz - Section 4,Quiz,TCAS II algorithms are based on the flight crew initiating the corrective maneuver within how many seconds of the RA?,Within 5 seconds,A) 2 seconds | B) 5 seconds | C) 10 seconds | D) 15 seconds,B
Quiz - Section 4,Quiz,What refractive and vision error occurs when flying in rain?,Windscreen rain causes an illusion where a hilltop 1/2 NM ahead appears 260 feet lower than actual (approx. 5 degrees refractive shift),A) Hilltop appears higher | B) Hilltop appears 260 feet lower than actual | C) Horizon appears tilted | D) No refraction error occurs,B
Quiz - Section 4,Quiz,A thunderstorm with tops at what altitude is considered severe?,"Tops 35,000 feet or higher","A) 20,000 feet | B) 25,000 feet | C) 30,000 feet | D) 35,000 feet or higher",D
Quiz - Section 4,Quiz,What is the rule of thumb for clearing the top of a known or suspected severe thunderstorm?,"Clear the top by at least 1,000 ft altitude for each 10 KT of wind speed at the cloud top","A) Clear by 1,000 ft | B) Clear by 5,000 ft | C) Clear the top by at least 1,000 ft altitude for each 10 KT of wind speed at the cloud top | D) Clear by 10,000 ft",C
Quiz - Section 4,Quiz,"On ground, how long should you wait before crossing a runway where a large aircraft has just taken off or landed to avoid wake turbulence?",Wait a few minutes (at least 2 minutes is usually sufficient),A) 30 seconds | B) 1 minute | C) 2 minutes | D) 5 minutes,C
Quiz - Section 4,Quiz,What wind shear PIREP patterns are typically encountered on takeoff?,"A performance-increasing headwind, followed by a performance-decreasing downdraft and tailwind","A) Tailwind followed by a headwind | B) Downdraft followed by an updraft | C) A performance-increasing headwind, followed by a performance-decreasing downdraft and tailwind | D) Continuous crosswind shifts",C
Quiz - Section 4,Quiz,What is the primary recovery action when encountering wind shear?,Recovery requires full power and a pitch attitude consistent with maximum angle of attack,A) Reduce power and push nose down | B) Recovery requires full power and a pitch attitude consistent with maximum angle of attack | C) Level the wings and climb at VREF | D) Turn 90 degrees immediately,B
Quiz - Section 4,Quiz,What is the clear air turbulence rules of thumb horizontal shear threshold indicated on 250 mbs isobaric charts?,30 KT isotachs spaced closer than 90 NM,A) 15 KT isotachs spaced closer than 50 NM | B) 30 KT isotachs spaced closer than 90 NM | C) 50 KT isotachs spaced closer than 120 NM | D) 10 KT isotachs spaced closer than 30 NM,B
Quiz - Section 4,Quiz,What are the rules of thumb vertical shear limits associated with CAT?,Turbulence is likely when vertical shear is greater than 5 KT per thousand feet,A) Greater than 2 KT per thousand feet | B) Greater than 5 KT per thousand feet | C) Greater than 10 KT per thousand feet | D) Greater than 15 KT per thousand feet,B
Quiz - Section 4,Quiz,What is the Slush Runway Policy for turbine aircraft?,No turbine aircraft shall be permitted to depart on slushy gravel runways unless authorized by the Chief Pilot,A) Normal operations allowed | B) No turbine aircraft shall be permitted to depart on slushy gravel runways unless authorized by the Chief Pilot | C) Departures allowed at day only | D) Decreased cargo weight required,B
Quiz - Section 4,Quiz,What describes a roll upset caused by icing?,An uncommanded rolling moment caused by airflow separation in front of the ailerons due to frozen ridges behind protected surfaces,A) Structural failure of the tail | B) Autopilot failure due to cold | C) An uncommanded rolling moment caused by airflow separation in front of the ailerons due to frozen ridges behind protected surfaces | D) Sudden engine flameout,C
Quiz - Section 4,Quiz,"If severe icing is encountered, how can roll upset be avoided?","Disengage autopilot, reduce angle of attack by increasing speed, wings level, and do not retract flaps unless wings are clear of ice","A) Engage autopilot and slow down | B) Pull nose up and deploy full flaps | C) Disengage autopilot, reduce angle of attack by increasing speed, wings level, and do not retract flaps unless wings are clear of ice | D) Turn aggressively immediately",C
Quiz - Section 4,Quiz,What causes a tail plane stall in icing conditions?,"Thinner horizontal stabilizers collect ice faster than wings, exceeding its critical angle of attack when flaps are lowered, causing a rapid nose-down pitch","A) Engine compressor stall | B) Thinner horizontal stabilizers collect ice faster than wings, exceeding its critical angle of attack when flaps are lowered, causing a rapid nose-down pitch | C) Aileron self-deflection | D) Wind shear on takeoff",B
Quiz - Section 4,Quiz,What are the immediate corrective actions if tail plane stall symptoms occur shortly after flap extension?,"Immediately retract the flaps to the previous setting, increase airspeed, and make pitch changes slowly","A) Retract flaps and pull nose down aggressively | B) Immediately retract the flaps to the previous setting, increase airspeed, and make pitch changes slowly | C) Close throttles and pitch down | D) Land with partial flaps only",B
